episode,total_reward,final_U,final_quality,total_cost,num_steps,retrieve_count,reason_count,terminated
0,-0.7290504973749958,0.68,0.710949502625004,0.8999999999999999,6,4,1,True
1,-1.3540523812797907,0.91,0.8859476187202091,1.4,9,6,2,True
2,-2.5958581800212444,1.0,0.9241418199787566,2.2000000000000006,16,7,8,True
3,-0.8141650169574414,0.76,0.7858349830425586,1.0,7,4,2,True
4,-1.155858180021244,1.0,0.9241418199787566,1.3000000000000003,11,3,7,True
5,-2.115858180021244,1.0,0.9241418199787566,1.9000000000000004,14,6,7,True
6,-2.4358581800212438,1.0,0.9241418199787566,2.1,13,9,3,True
7,-1.4378161114414185,0.78,0.8021838885585818,1.4000000000000001,11,4,6,True
8,-1.9558581800212438,1.0,0.9241418199787566,1.8000000000000003,12,7,4,True
9,-1.3158581800212432,1.0,0.9241418199787566,1.4,10,5,4,True
10,-1.285864408989199,0.61,0.6341355910108007,1.2,8,5,2,True
11,-0.9018510649004878,0.86,0.8581489350995123,1.1,10,2,7,True
12,-1.0490504973749957,0.68,0.710949502625004,1.0999999999999999,7,5,1,True
13,-1.1558581800212435,0.9999999999999999,0.9241418199787566,1.3,10,4,5,True
14,-2.4358581800212438,0.9999999999999999,0.9241418199787566,2.1,14,8,5,True
15,-1.1558581800212435,1.0,0.9241418199787566,1.3,11,3,7,True
16,-1.8744652650835347,0.84,0.8455347349164652,1.7,11,7,3,True
17,-1.7958581800212436,0.9999999999999999,0.9241418199787566,1.7000000000000002,12,6,5,True
18,-0.5701660026875223,0.5399999999999999,0.5498339973124778,0.7000000000000001,6,2,3,True
19,-1.0290968211956129,0.92,0.8909031788043871,1.2,9,4,4,True
20,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,13,4,8,True
21,-0.9080471980316895,0.85,0.8519528019683106,1.1,9,3,5,True
22,-2.0941650169574415,0.7599999999999999,0.7858349830425585,1.8,11,8,2,True
23,-1.9558581800212438,1.0,0.9241418199787566,1.8000000000000003,15,4,10,True
24,-0.8901660026875221,0.54,0.549833997312478,0.9,7,3,3,True
25,-1.4300015660153131,0.79,0.8099984339846871,1.4000000000000001,12,3,8,True
26,-2.4358581800212438,1.0,0.9241418199787566,2.1,14,8,5,True
