parameter,value,theta_cont,theta_star,avg_reward,avg_quality,avg_cost
mu,0.2,0.0,1.0,-0.6358581800212435,0.9241418199787566,1.3
mu,0.4,0.0,1.0,-0.8958581800212435,0.9241418199787566,1.3
mu,0.6,0.0,1.0,-1.1558581800212435,0.9241418199787566,1.3
mu,0.8,0.0,1.0,-1.4158581800212438,0.9241418199787566,1.3
mu,1.0,0.0,1.0,-1.6758581800212433,0.9241418199787566,1.3
p_s,0.5,0.0,1.0,-1.6758581800212433,0.9241418199787566,1.3
p_s,0.6,0.0,1.0,-1.6758581800212433,0.9241418199787566,1.3
p_s,0.7,0.0,1.0,-1.6758581800212433,0.9241418199787566,1.3
p_s,0.8,0.0,1.0,-1.6758581800212433,0.9241418199787566,1.3
p_s,0.9,0.0,1.0,-1.6758581800212433,0.9241418199787566,1.3
delta_ratio,1.5,0.0,1.0,-1.2758581800212434,0.9241418199787566,1.0999999999999999
delta_ratio,1.75,0.0,1.0,-1.2758581800212434,0.9241418199787566,1.0999999999999999
delta_ratio,2.0,0.0,1.0,-1.2758581800212434,0.9241418199787566,1.0999999999999999
delta_ratio,2.5,0.6060606060606061,1.0,-0.9958581800212436,0.9241418199787566,0.9600000000000002
delta_ratio,3.0,0.6666666666666667,1.0,-0.5958581800212436,0.9241418199787566,0.7600000000000001
